userId,movieId,rating,timestamp,title,genres
1,349,4,964982563,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
1,1208,4,964983250,Apocalypse Now (1979),Action|Drama|War
1,1258,3,964983414,"Shining, The (1980)",Horror
1,1732,5,964981125,"Big Lebowski, The (1998)",Comedy|Crime
1,2115,5,964982529,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
1,3147,5,964983873,"Green Mile, The (1999)",Crime|Drama
20,2,3,1054038313,Jumanji (1995),Adventure|Children|Fantasy
20,3996,3.5,1054037208,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
20,4896,4.5,1054037243,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
20,5418,3,1054037279,"Bourne Identity, The (2002)",Action|Mystery|Thriller
187,253,3.5,1161863909,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
187,924,4,1161850326,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
187,1258,4.5,1161849677,"Shining, The (1980)",Horror
187,1732,5,1161849502,"Big Lebowski, The (1998)",Comedy|Crime
187,3996,3,1161850238,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
187,4878,3.5,1161849216,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller
187,7438,4,1161849208,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
198,924,4,1034135489,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
198,1258,3,1034137298,"Shining, The (1980)",Horror
198,1732,3,1034139066,"Big Lebowski, The (1998)",Comedy|Crime
198,2115,3,1034207373,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
198,3147,5,1034136190,"Green Mile, The (1999)",Crime|Drama
198,3996,3,1034137010,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
212,924,4,1523217002,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
212,1258,4,1490115560,"Shining, The (1980)",Horror
212,1732,3,1490121293,"Big Lebowski, The (1998)",Comedy|Crime
212,2918,2.5,1490121478,Ferris Bueller's Day Off (1986),Comedy
212,4896,3.5,1523216502,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
212,68954,3,1490115514,Up (2009),Adventure|Animation|Children|Drama
222,2,2.5,1391353926,Jumanji (1995),Adventure|Children|Fantasy
222,1208,3.5,1391350069,Apocalypse Now (1979),Action|Drama|War
222,1732,3.5,1391350152,"Big Lebowski, The (1998)",Comedy|Crime
222,1923,3,1391374781,There's Something About Mary (1998),Comedy|Romance
222,7438,4,1391350241,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
222,48516,4.5,1391350073,"Departed, The (2006)",Crime|Drama|Thriller
222,68954,2.5,1391350228,Up (2009),Adventure|Animation|Children|Drama
282,1208,4.5,1378490160,Apocalypse Now (1979),Action|Drama|War
282,1258,4,1514068326,"Shining, The (1980)",Horror
282,1732,4,1378495532,"Big Lebowski, The (1998)",Comedy|Crime
282,2115,4,1378495009,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
282,2918,4.5,1378497309,Ferris Bueller's Day Off (1986),Comedy
282,3147,4,1378498731,"Green Mile, The (1999)",Crime|Drama
282,5418,4.5,1378491740,"Bourne Identity, The (2002)",Action|Mystery|Thriller
282,7438,3.5,1378491703,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
282,48516,4.5,1378498161,"Departed, The (2006)",Crime|Drama|Thriller
328,924,4,1494210622,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
